age,education,marital_status,occupation,bloodline,gender,hours_per_week,income_bracket,magical_artifact_possession_score,magical_artifact_power_level,number_of_spells_mastered,gringotts_approved_loan
55,Aurors Specialism,Divorced,Ministry of Magic Official,Half-blood,Male,,<=50 Galleons,40716,60560.8,24,Yes
19,Hogwarts Graduate,Never-married,Potion Ingredients Supplier,Half-blood,Male,40.0,<=50 Galleons,35117,48221.600000000006,25,No
33,Aurors Specialism,Divorced,Dark Forces Defense Consultant,Half-blood,Male,,<=50 Galleons,70452,73910.6,14,Yes
48,Aurors Specialism,Married,Wandmaker,Half-blood,Female,10.0,>50 Galleons,85330,93395.0,38,No
29,Specialism in a magical field,Never-married,Ministry of Magic Official,Half-blood,Female,,<=50 Galleons,6121,30470.8,18,No
36,Specialism in a magical field,Divorced,Other,Half-blood,Male,40.0,<=50 Galleons,59117,74290.6,19,No
49,Specialism in a magical field,Married,Potioneer,Half-blood,Male,40.0,<=50 Galleons,19773,38785.4,28,No
45,Specialism in a magical field,Divorced,Magical Shop Owner,Half-blood,Male,38.0,<=50 Galleons,9968,23745.4,-10000,Yes
35,Hogwarts Graduate,Divorced,Potioneer,Half-blood,Male,40.0,<=50 Galleons,32904,47428.2,17,Yes
25,Hogwarts Graduate,Married,Other,Half-blood,Male,30.0,<=50 Galleons,67244,71853.20000000001,19,Yes
68,Hogwarts Graduate,Married,Magical Shop Owner,Half-blood,Non-binary,45.0,<=50 Galleons,50699,61613.200000000004,15,No
64,Hogwarts Graduate,Married,Magical Shop Owner,Half-blood,Male,,>50 Galleons,60851,64111.8,43,Yes
38,Specialism in a magical field,Married,Hogwarts Professor,Half-blood,Male,40.0,>50 Galleons,93736,102491.8,34,Yes
51,Specialism in a magical field,Married,Potioneer,Half-blood,Male,60.0,<=50 Galleons,82755,95594.0,16,Yes
27,Specialism in a magical field,Never-married,Gringotts Bank,Half-blood,Male,50.0,<=50 Galleons,12415,25747.0,27,Yes
33,Dropout,Married,Magical Librarian,Half-blood,Male,40.0,<=50 Galleons,15907,37051.6,27,No
25,Specialism in a magical field,Never-married,Magical Librarian,Half-blood,Female,30.0,<=50 Galleons,83404,84279.2,17,No
40,Specialism in a magical field,Married,Magical Shop Owner,Half-blood,Male,15.0,<=50 Galleons,17550,32930.0,16,No
20,Aurors Specialism,Never-married,Auror,Half-blood,Male,25.0,<=50 Galleons,45810,52127.0,18,Yes
51,Specialism in a magical field,Married,Hogwarts Professor,Pureblood,Male,,<=50 Galleons,37497,56728.600000000006,19,Yes
37,Aurors Specialism,Divorced,Ministry of Magic Official,Half-blood,Male,60.0,>50 Galleons,71125,80369.0,43,Yes
25,Specialism in a magical field,Never-married,Magical Shop Owner,Half-blood,Male,42.0,<=50 Galleons,73911,86717.8,24,Yes
39,Specialism in a magical field,Married,Potion Ingredients Supplier,Half-blood,Male,45.0,>50 Galleons,39781,55365.8,41,Yes
43,Hogwarts Graduate,Married,Potion Ingredients Supplier,Half-blood,Male,45.0,<=50 Galleons,40863,55436.4,28,No
19,Hogwarts Graduate,Never-married,Hogwarts Professor,Half-blood,Female,30.0,<=50 Galleons,67659,73883.20000000001,25,No
37,Hogwarts Graduate,Never-married,Potion Ingredients Supplier,Pureblood,Female,,<=50 Galleons,91481,94484.8,25,Yes
21,Hogwarts Graduate,Never-married,Gringotts Bank,Half-blood,Male,40.0,<=50 Galleons,87068,89758.40000000001,22,No
41,Specialism in a magical field,Married,Hogwarts Professor,Half-blood,Male,40.0,<=50 Galleons,26835,48851.0,18,Yes
41,Hogwarts Graduate,Divorced,Other,Half-blood,Female,,<=50 Galleons,29516,42229.8,14,No
60,Aurors Specialism,Married,Magical Intelligence Agent,Half-blood,Male,,>50 Galleons,46434,55431.200000000004,44,Yes
48,Hogwarts Graduate,Married,Hogwarts Professor,Half-blood,Male,40.0,<=50 Galleons,22819,45262.2,24,No
40,Hogwarts Graduate,Married,Potioneer,Half-blood,Male,40.0,<=50 Galleons,29558,50673.4,13,No
36,Specialism in a magical field,Married,Potioneer,Half-blood,Male,48.0,>50 Galleons,75760,83060.0,43,Yes
18,Hogwarts Graduate,Never-married,Magical Shop Owner,Half-blood,Female,40.0,<=50 Galleons,32369,45356.2,14,No
40,Aurors Specialism,Married,Wandlore Assistant,Half-blood,Female,,>50 Galleons,78924,92018.20000000001,36,No
45,Hogwarts Graduate,Married,Hogwarts Professor,Half-blood,Male,40.0,>50 Galleons,69905,72896.0,39,Yes
35,Hogwarts Graduate,Separated,Other,Half-blood,Male,42.0,<=50 Galleons,51408,61550.4,17,No
27,Dropout,Married,Ministry of Magic Official,Half-blood,Male,24.0,<=50 Galleons,34085,52972.0,13,No
43,Aurors Specialism,Married,Auror,Half-blood,Non-binary,50.0,<=50 Galleons,55219,70663.20000000001,28,No
35,Hogwarts Graduate,Divorced,Other,Pureblood,Male,40.0,<=50 Galleons,60762,69063.6,28,Yes
34,Charms Scholar,Married,Magical Intelligence Agent,Half-blood,Male,40.0,>50 Galleons,34089,52940.2,30,No
48,Aurors Specialism,Married,Potion Ingredients Supplier,Half-blood,Male,,>50 Galleons,65196,79014.8,43,Yes
32,Aurors Specialism,Married,Magical Librarian,Half-blood,Male,50.0,<=50 Galleons,36500,44936.0,27,Yes
38,Specialism in a magical field,Never-married,Hogwarts Professor,Half-blood,Male,60.0,<=50 Galleons,50344,64080.200000000004,25,Yes
34,Aurors Specialism,Married,Wandmaker,Half-blood,Male,55.0,<=50 Galleons,62837,73464.6,21,Yes
23,Specialism in a magical field,Never-married,Magical Transportation,Half-blood,Female,40.0,<=50 Galleons,54598,67695.4,19,No
51,Hogwarts Graduate,Divorced,Hogwarts Professor,Half-blood,Male,40.0,<=50 Galleons,6225,20243.0,16,No
56,Dropout,Divorced,Other,Half-blood,Male,,<=50 Galleons,56863,62617.4,22,No
31,Specialism in a magical field,Married,Gringotts Bank,Half-blood,Male,97.0,>50 Galleons,37370,53932.0,44,Yes
25,Hogwarts Graduate,Never-married,Potion Ingredients Supplier,Pureblood,Male,40.0,<=50 Galleons,71909,79552.20000000001,14,Yes
24,Hogwarts Graduate,Married,Hogwarts Professor,Half-blood,Female,36.0,<=50 Galleons,6003,34292.4,24,No
40,Specialism in a magical field,Divorced,Wandmaker,Half-blood,Male,40.0,<=50 Galleons,38254,57410.2,13,Yes
42,Hogwarts Graduate,Married,Magical Shop Owner,Half-blood,Male,50.0,<=50 Galleons,28111,50982.8,18,No
47,Aurors Specialism,Divorced,Potioneer,Half-blood,Male,50.0,<=50 Galleons,29798,52018.4,13,Yes
30,Specialism in a magical field,Married,Wandmaker,Half-blood,Male,35.0,>50 Galleons,58183,76506.4,35,Yes
66,Aurors Specialism,Widowed,Gringotts Bank,Half-blood,Female,,>50 Galleons,42170,50668.0,42,Yes
52,Specialism in a magical field,Divorced,Magical Shop Owner,Half-blood,Female,60.0,<=50 Galleons,51253,58420.4,25,No
63,Dropout,Widowed,Magical Shop Owner,Half-blood,Female,10.0,<=50 Galleons,23676,35866.8,24,No
40,Charms Scholar,Never-married,Wandmaker,Half-blood,Female,,<=50 Galleons,46577,66281.6,22,No
25,Hogwarts Graduate,Never-married,Hogwarts Professor,Half-blood,Female,35.0,<=50 Galleons,5937,21230.6,-10000,No
20,Specialism in a magical field,Never-married,Ministry of Magic Official,Half-blood,Female,20.0,<=50 Galleons,22453,37513.4,24,No
39,Hogwarts Graduate,Divorced,Potion Ingredients Supplier,Half-blood,Male,,<=50 Galleons,-4640,20978.0,14,No
46,Specialism in a magical field,Separated,Magical Transportation,Pureblood,Female,40.0,<=50 Galleons,14238,28301.4,23,Yes
45,Hogwarts Graduate,Married,Magical Transportation,Pureblood,Male,40.0,<=50 Galleons,7553,32275.4,23,Yes
31,Specialism in a magical field,Married,Hogwarts Professor,Half-blood,Male,40.0,<=50 Galleons,71380,82793.0,28,Yes
32,Dropout,Separated,Goblin Liaison Officer,Half-blood,Female,42.0,<=50 Galleons,22225,37433.0,18,No
18,Hogwarts Graduate,Never-married,Hogwarts Professor,Half-blood,Female,45.0,<=50 Galleons,6357,32365.6,24,No
42,Specialism in a magical field,Married,Magical Intelligence Agent,Half-blood,Male,50.0,>50 Galleons,65887,77288.6,43,Yes
25,Hogwarts Graduate,Never-married,Wandlore Assistant,Half-blood,Male,40.0,<=50 Galleons,22518,46859.4,15,No
44,Specialism in a magical field,Married,Wandmaker,Half-blood,Male,80.0,<=50 Galleons,22560,34575.0,23,Yes
31,Hogwarts Graduate,Never-married,Hogwarts Professor,Pureblood,Male,40.0,<=50 Galleons,63751,74392.8,16,Yes
32,Hogwarts Graduate,Never-married,Auror,Half-blood,Male,60.0,<=50 Galleons,67667,72575.6,14,No
34,Hogwarts Graduate,Never-married,Gringotts Bank,Pureblood,Male,40.0,<=50 Galleons,24553,43791.4,13,Yes
54,Specialism in a magical field,Divorced,Hogwarts Professor,Half-blood,Male,50.0,<=50 Galleons,24041,35141.8,17,No
22,Hogwarts Graduate,Never-married,Hogwarts Professor,Half-blood,Male,20.0,<=50 Galleons,71298,76025.4,21,No
20,Specialism in a magical field,Never-married,Wandmaker,Half-blood,Female,15.0,<=50 Galleons,65900,67959.0,20,No
39,Specialism in a magical field,Never-married,Wandmaker,Half-blood,Male,,<=50 Galleons,11386,26145.800000000003,20,Yes
21,Hogwarts Graduate,Never-married,Magical Shop Owner,Half-blood,Female,40.0,<=50 Galleons,28386,45135.8,27,No
63,Charms Scholar,Married,Wandmaker,Half-blood,Male,50.0,>50 Galleons,34662,52877.600000000006,37,No
55,Specialism in a magical field,Married,Magical Shop Owner,Pureblood,Male,,>50 Galleons,46984,57868.200000000004,31,Yes
43,Specialism in a magical field,Divorced,Magical Transportation,Half-blood,Female,40.0,<=50 Galleons,-1029,19600.8,13,No
26,Hogwarts Graduate,Never-married,Magical Transportation,Half-blood,Female,,<=50 Galleons,23275,38632.0,27,No
59,Aurors Specialism,Married,Auror,Muggle born,Non-binary,40.0,>50 Galleons,31528,54034.4,32,No
53,Specialism in a magical field,Married,Potioneer,Half-blood,Male,25.0,<=50 Galleons,29886,44802.8,14,Yes
48,Specialism in a magical field,Divorced,Magical Shop Owner,Half-blood,Female,55.0,<=50 Galleons,84646,90253.8,14,No
51,Hogwarts Graduate,Married,Gringotts Bank,Half-blood,Female,40.0,<=50 Galleons,29290,44265.0,25,No
56,Specialism in a magical field,Divorced,Magical Shop Owner,Pureblood,Female,40.0,<=50 Galleons,67301,70971.8,23,Yes
31,Aurors Specialism,Married,Magical Intelligence Agent,Half-blood,Male,40.0,<=50 Galleons,44243,58623.4,22,Yes
52,Hogwarts Graduate,Divorced,Hogwarts Professor,Half-blood,Male,40.0,<=50 Galleons,2325,24976.0,21,Yes
34,Specialism in a magical field,Married,Hogwarts Professor,Half-blood,Male,40.0,>50 Galleons,35558,49837.4,44,Yes
68,Specialism in a magical field,Divorced,Potion Ingredients Supplier,Pureblood,Female,,<=50 Galleons,76211,86042.8,19,Yes
17,Hogwarts Graduate,Never-married,Other,Pureblood,Female,35.0,<=50 Galleons,30834,49099.2,21,Yes
37,Hogwarts Graduate,Never-married,Magical Librarian,Muggle born,Male,40.0,<=50 Galleons,64166,72048.8,14,No
44,Aurors Specialism,Married,Potioneer,Half-blood,Male,,<=50 Galleons,80041,79834.8,25,Yes
37,Aurors Specialism,Married,Auror,Half-blood,Male,60.0,>50 Galleons,57114,73382.20000000001,42,Yes
66,Hogwarts Graduate,Widowed,Other,Half-blood,Female,8.0,<=50 Galleons,38575,46606.0,26,No
56,Hogwarts Graduate,Separated,Other,Half-blood,Male,40.0,<=50 Galleons,56503,64285.4,14,No
41,Specialism in a magical field,Divorced,Wandmaker,Half-blood,Female,15.0,<=50 Galleons,52713,60665.4,19,No
21,Specialism in a magical field,Never-married,Magical Librarian,Half-blood,Female,49.0,<=50 Galleons,37999,56520.2,28,No
51,Specialism in a magical field,Married,Magical Transportation,Half-blood,Male,40.0,<=50 Galleons,30779,52986.2,25,Yes
57,Dropout,Separated,Other,Pureblood,Male,40.0,<=50 Galleons,46012,61229.6,28,Yes
29,Hogwarts Graduate,Never-married,Magical Shop Owner,Muggle born,Non-binary,,<=50 Galleons,70607,77216.6,16,No
44,Aurors Specialism,Married,Magical Shop Owner,Half-blood,Female,40.0,>50 Galleons,82402,95643.6,35,No
21,Specialism in a magical field,Never-married,Magical Shop Owner,Half-blood,Male,30.0,<=50 Galleons,58263,64835.4,13,Yes
37,Specialism in a magical field,Married,Hogwarts Professor,Half-blood,Male,40.0,>50 Galleons,84809,92187.2,40,Yes
33,Hogwarts Graduate,Married,Other,Half-blood,Male,40.0,>50 Galleons,78402,92471.6,33,Yes
77,Aurors Specialism,Widowed,Auror,Half-blood,Male,40.0,<=50 Galleons,59947,76567.6,26,Yes
52,Aurors Specialism,Married,Auror,Half-blood,Male,60.0,>50 Galleons,29843,39983.4,44,Yes
58,Aurors Specialism,Married,Auror,Half-blood,Male,40.0,<=50 Galleons,-5272,19401.4,26,Yes
45,Hogwarts Graduate,Married,Hogwarts Professor,Half-blood,Male,40.0,<=50 Galleons,66507,77824.6,18,No
39,Specialism in a magical field,Never-married,Ministry of Magic Official,Muggle born,Male,40.0,<=50 Galleons,5301,25398.8,18,No
31,Specialism in a magical field,Married,Wandmaker,Half-blood,Male,40.0,<=50 Galleons,4413,22175.4,22,Yes
50,Hogwarts Graduate,Widowed,Other,Half-blood,Female,40.0,<=50 Galleons,86480,95607.0,22,No
43,Dropout,Married,Ministry of Magic Official,Muggle born,Female,40.0,>50 Galleons,73455,78764.0,30,No
49,Specialism in a magical field,Married,Wandmaker,Half-blood,Male,50.0,<=50 Galleons,81284,83689.20000000001,15,Yes
87,Hogwarts Graduate,Married,Hogwarts Professor,Half-blood,Male,16.0,<=50 Galleons,19214,34120.2,13,No
18,Hogwarts Graduate,Never-married,Potioneer,Half-blood,Female,15.0,<=50 Galleons,35828,51767.4,25,No
30,Specialism in a magical field,Married,Potioneer,Half-blood,Male,40.0,<=50 Galleons,22990,37268.0,14,No
23,Specialism in a magical field,Never-married,Potion Ingredients Supplier,Half-blood,Male,10.0,<=50 Galleons,-1898,20454.6,15,Yes
32,Specialism in a magical field,Married,Potion Ingredients Supplier,Pureblood,Male,50.0,>50 Galleons,53199,71701.20000000001,39,Yes
53,Dropout,Widowed,Other,Pureblood,Female,,<=50 Galleons,89231,92820.8,27,Yes
29,Specialism in a magical field,Married,Magical Intelligence Agent,Half-blood,Male,45.0,>50 Galleons,60050,71521.0,41,Yes
29,Specialism in a magical field,Never-married,Wandmaker,Half-blood,Male,40.0,<=50 Galleons,31029,52516.2,25,Yes
46,Aurors Specialism,Divorced,Auror,Half-blood,Female,,<=50 Galleons,8192,25602.6,21,Yes
47,Specialism in a magical field,Married,Other,Half-blood,Male,57.0,>50 Galleons,82162,86983.6,44,Yes
21,Specialism in a magical field,Never-married,Potioneer,Pureblood,Male,17.0,<=50 Galleons,68699,77927.20000000001,21,Yes
29,Specialism in a magical field,Married,Potion Ingredients Supplier,Half-blood,Male,40.0,>50 Galleons,45710,61998.0,31,Yes
35,Hogwarts Graduate,Married,Goblin Liaison Officer,Half-blood,Male,40.0,<=50 Galleons,24701,47934.8,25,No
53,Aurors Specialism,Married,Dark Forces Defense Consultant,Half-blood,Male,44.0,>50 Galleons,76468,90474.4,30,Yes
47,Hogwarts Graduate,Divorced,Other,Half-blood,Female,48.0,<=50 Galleons,21786,35075.8,27,No
41,Hogwarts Graduate,Married,Hogwarts Professor,Half-blood,Male,,<=50 Galleons,56399,67140.20000000001,18,Yes
44,Hogwarts Graduate,Married,Other,Half-blood,Male,,>50 Galleons,91567,98516.6,32,No
42,Specialism in a magical field,Married,Potioneer,Half-blood,Male,60.0,>50 Galleons,43218,50872.4,33,No
49,Specialism in a magical field,Married,Hogwarts Professor,Half-blood,Male,50.0,>50 Galleons,67461,71003.8,41,Yes
46,Specialism in a magical field,Married,Potioneer,Half-blood,Male,40.0,<=50 Galleons,53047,65175.600000000006,28,Yes
24,Specialism in a magical field,Never-married,Hogwarts Professor,Half-blood,Female,40.0,<=50 Galleons,9251,33901.8,28,No
42,Hogwarts Graduate,Never-married,Other,Half-blood,Male,50.0,<=50 Galleons,77463,84304.4,-10000,No
43,Specialism in a magical field,Divorced,Wandlore Assistant,Half-blood,Female,,>50 Galleons,77174,86398.20000000001,32,No
40,Aurors Specialism,Married,Auror,Half-blood,Male,45.0,<=50 Galleons,44591,61233.8,17,Yes
24,Specialism in a magical field,Married,Hogwarts Professor,Veiled Heritage,Male,40.0,<=50 Galleons,77888,79972.4,15,No
73,Specialism in a magical field,Married,Hogwarts Professor,Half-blood,Male,20.0,>50 Galleons,37466,56989.8,32,Yes
23,Aurors Specialism,Never-married,Goblin Liaison Officer,Half-blood,Male,40.0,<=50 Galleons,-3161,18605.2,22,Yes
24,Aurors Specialism,Never-married,Other,Half-blood,Male,40.0,<=50 Galleons,65887,70728.6,28,Yes
32,Hogwarts Graduate,Married,Hogwarts Professor,Half-blood,Male,40.0,<=50 Galleons,63688,69665.4,23,No
47,Hogwarts Graduate,Married,Potioneer,Half-blood,Male,55.0,<=50 Galleons,23219,45811.2,16,No
72,Specialism in a magical field,Widowed,Potioneer,Half-blood,Female,40.0,<=50 Galleons,6743,24890.4,23,No
19,Specialism in a magical field,Never-married,Other,Half-blood,Female,9.0,<=50 Galleons,75505,78084.0,16,No
46,Hogwarts Graduate,Married,Potioneer,Half-blood,Male,40.0,<=50 Galleons,61087,65331.600000000006,16,No
59,Aurors Specialism,Married,Ministry of Magic Official,Half-blood,Male,50.0,<=50 Galleons,23232,35482.600000000006,21,Yes
35,Specialism in a magical field,Married,Wandlore Assistant,Half-blood,Male,40.0,>50 Galleons,64702,73529.6,36,Yes
51,Specialism in a magical field,Divorced,Wandmaker,Half-blood,Female,16.0,<=50 Galleons,81216,81581.8,24,No
28,Hogwarts Graduate,Never-married,Potioneer,Pureblood,Non-binary,48.0,<=50 Galleons,45818,66649.4,14,Yes
28,Hogwarts Graduate,Never-married,Magical Librarian,Half-blood,Male,40.0,<=50 Galleons,40029,49435.2,16,No
33,Hogwarts Graduate,Never-married,Ministry of Magic Official,Half-blood,Female,40.0,<=50 Galleons,52398,68869.4,28,No
52,Hogwarts Graduate,Married,Other,Half-blood,Male,50.0,>50 Galleons,48250,62023.0,35,Yes
37,Aurors Specialism,Married,Ministry of Magic Official,Half-blood,Male,40.0,<=50 Galleons,54885,61408.0,26,Yes
29,Specialism in a magical field,Divorced,Magical Intelligence Agent,Half-blood,Male,24.0,<=50 Galleons,76439,79174.20000000001,14,No
27,Specialism in a magical field,Married,Auror,Half-blood,Male,40.0,>50 Galleons,57199,63492.200000000004,44,Yes
32,Hogwarts Graduate,Married,Potioneer,Half-blood,Male,40.0,<=50 Galleons,7463,29596.4,13,No
54,Specialism in a magical field,Separated,Potion Ingredients Supplier,Pureblood,Female,20.0,<=50 Galleons,37580,55609.0,28,Yes
66,Hogwarts Graduate,Widowed,Hogwarts Professor,Half-blood,Male,40.0,<=50 Galleons,30471,41819.8,21,No
25,Aurors Specialism,Never-married,Auror,Half-blood,Non-binary,40.0,<=50 Galleons,76831,90460.8,26,No
34,Specialism in a magical field,Married,Potion Ingredients Supplier,Half-blood,Male,40.0,<=50 Galleons,-1945,24613.0,28,Yes
35,Hogwarts Graduate,Never-married,Hogwarts Professor,Half-blood,Female,,<=50 Galleons,8313,34336.4,16,No
37,Specialism in a magical field,Never-married,Potioneer,Half-blood,Female,40.0,<=50 Galleons,91388,100448.40000000001,15,No
22,Specialism in a magical field,Married,Potioneer,Half-blood,Male,40.0,<=50 Galleons,33146,53824.8,14,Yes
37,Hogwarts Graduate,Married,Hogwarts Professor,Pureblood,Male,40.0,<=50 Galleons,75558,82790.4,25,Yes
37,Aurors Specialism,Married,Dark Forces Defense Consultant,Muggle born,Male,55.0,<=50 Galleons,34496,57209.8,24,No
31,Specialism in a magical field,Married,Potioneer,Half-blood,Male,38.0,>50 Galleons,82662,95964.6,42,Yes
30,Aurors Specialism,Never-married,Ministry of Magic Official,Veiled Heritage,Female,40.0,>50 Galleons,26422,43765.600000000006,42,No
45,Specialism in a magical field,Separated,Other,Half-blood,Female,40.0,<=50 Galleons,20530,44193.0,28,No
37,Specialism in a magical field,Married,Magical Shop Owner,Half-blood,Male,40.0,<=50 Galleons,38968,55794.4,18,Yes
28,Specialism in a magical field,Never-married,Other,Half-blood,Female,40.0,<=50 Galleons,74202,76995.6,22,No
46,Hogwarts Graduate,Divorced,Other,Half-blood,Male,,<=50 Galleons,3242,31766.6,19,No
25,Specialism in a magical field,Never-married,Magical Shop Owner,Half-blood,Male,45.0,<=50 Galleons,80566,91953.8,13,No
22,Dropout,Never-married,Potioneer,Half-blood,Male,,<=50 Galleons,16592,28829.6,16,No
51,Dropout,Widowed,Other,Half-blood,Male,30.0,<=50 Galleons,72815,83742.0,14,No
43,Aurors Specialism,Married,Magical Transportation,Half-blood,Male,50.0,>50 Galleons,47911,65114.8,31,Yes
53,Specialism in a magical field,Divorced,Potioneer,Half-blood,Female,57.0,<=50 Galleons,49669,62414.200000000004,20,No
30,Hogwarts Graduate,Married,Potion Ingredients Supplier,Half-blood,Male,40.0,>50 Galleons,58479,75823.20000000001,33,No
19,Specialism in a magical field,Never-married,Potion Ingredients Supplier,Muggle born,Male,,<=50 Galleons,59319,71105.20000000001,16,No
40,Specialism in a magical field,Married,Magical Transportation,Half-blood,Male,50.0,>50 Galleons,71062,79125.6,40,No
41,Specialism in a magical field,Married,Gringotts Bank,Half-blood,Female,32.0,>50 Galleons,29621,49377.8,33,No
17,Dropout,Never-married,Wandlore Assistant,Half-blood,Male,40.0,<=50 Galleons,34543,49577.4,13,No
27,Specialism in a magical field,Married,Other,Half-blood,Male,,<=50 Galleons,30833,47417.4,21,No
38,Specialism in a magical field,Married,Other,Half-blood,Male,30.0,<=50 Galleons,43857,52912.6,22,Yes
31,Specialism in a magical field,Never-married,Other,Pureblood,Male,,<=50 Galleons,68084,70155.20000000001,17,Yes
20,Specialism in a magical field,Never-married,Potion Ingredients Supplier,Half-blood,Male,40.0,<=50 Galleons,1807,23212.6,17,Yes
55,Specialism in a magical field,Divorced,Ministry of Magic Official,Half-blood,Male,40.0,<=50 Galleons,8853,33513.4,24,Yes
36,Specialism in a magical field,Never-married,Hogwarts Professor,Half-blood,Female,40.0,<=50 Galleons,49972,57751.600000000006,14,No
38,Aurors Specialism,Married,Gringotts Bank,Half-blood,Male,,>50 Galleons,58086,66059.8,45,Yes
25,Specialism in a magical field,Married,Magical Shop Owner,Pureblood,Female,40.0,>50 Galleons,43640,64177.0,33,Yes
27,Hogwarts Graduate,Married,Potioneer,Half-blood,Male,40.0,<=50 Galleons,40772,62487.600000000006,14,No
43,Hogwarts Graduate,Married,Other,Half-blood,Male,42.0,>50 Galleons,45007,58190.6,40,Yes
47,Hogwarts Graduate,Never-married,Ministry of Magic Official,Pureblood,Female,,<=50 Galleons,61344,69363.20000000001,15,Yes
67,Specialism in a magical field,Divorced,Other,Half-blood,Female,24.0,<=50 Galleons,67364,70167.20000000001,22,No
41,Hogwarts Graduate,Divorced,Hogwarts Professor,Half-blood,Male,40.0,<=50 Galleons,75814,88474.20000000001,28,No
23,Hogwarts Graduate,Never-married,Other,Half-blood,Female,37.0,<=50 Galleons,9341,23109.8,23,No
30,Specialism in a magical field,Married,Magical Intelligence Agent,Half-blood,Female,25.0,>50 Galleons,54051,59063.8,40,No
44,Specialism in a magical field,Separated,Gringotts Bank,Half-blood,Female,,<=50 Galleons,26585,48932.0,14,No
33,Specialism in a magical field,Married,Wandmaker,Half-blood,Male,,>50 Galleons,92884,102327.2,33,Yes
38,Specialism in a magical field,Never-married,Goblin Liaison Officer,Half-blood,Female,40.0,<=50 Galleons,56614,67402.20000000001,13,No
40,Hogwarts Graduate,Married,Potioneer,Half-blood,Female,,<=50 Galleons,34628,52734.4,20,No
48,Dropout,Married,Other,Half-blood,Male,40.0,<=50 Galleons,15920,39142.0,22,No
37,Hogwarts Graduate,Never-married,Potioneer,Half-blood,Female,40.0,<=50 Galleons,27242,51351.600000000006,28,No
36,Hogwarts Graduate,Separated,Gringotts Bank,Pureblood,Female,40.0,<=50 Galleons,30235,49157.0,15,Yes
33,Hogwarts Graduate,Divorced,Goblin Liaison Officer,Half-blood,Female,40.0,<=50 Galleons,22000,38750.0,26,No
56,Specialism in a magical field,Divorced,Potioneer,Half-blood,Female,40.0,<=50 Galleons,16071,38993.8,24,No
49,Specialism in a magical field,Married,Wandmaker,Half-blood,Female,30.0,>50 Galleons,34863,54622.4,42,No
35,Specialism in a magical field,Married,Potioneer,Half-blood,Male,,>50 Galleons,71972,83403.6,42,Yes
39,Specialism in a magical field,Married,Dark Forces Defense Consultant,Half-blood,Female,24.0,<=50 Galleons,55205,70898.0,27,No
19,Specialism in a magical field,Never-married,Magical Shop Owner,Half-blood,Male,40.0,<=50 Galleons,503,15697.4,26,Yes
20,Specialism in a magical field,Never-married,Wandlore Assistant,Veiled Heritage,Female,40.0,<=50 Galleons,35418,57660.4,13,No
62,Dropout,Divorced,Other,Half-blood,Male,35.0,<=50 Galleons,31038,52537.4,18,No
47,Specialism in a magical field,Married,Magical Shop Owner,Half-blood,Male,20.0,<=50 Galleons,55544,72441.20000000001,14,Yes
43,Aurors Specialism,Married,Magical Shop Owner,Pureblood,Male,40.0,>50 Galleons,55855,71311.0,44,Yes
48,Specialism in a magical field,Divorced,Potioneer,Half-blood,Female,60.0,<=50 Galleons,22354,37462.2,20,No
24,Specialism in a magical field,Married,Ministry of Magic Official,Half-blood,Male,40.0,<=50 Galleons,74814,74944.20000000001,26,Yes
59,Dropout,Married,Gringotts Bank,Half-blood,Male,40.0,<=50 Galleons,-261,25111.2,23,No
34,Hogwarts Graduate,Married,Hogwarts Professor,Veiled Heritage,Male,40.0,<=50 Galleons,32194,41872.2,27,No
41,Specialism in a magical field,Never-married,Dark Forces Defense Consultant,Half-blood,Female,,<=50 Galleons,46141,66236.8,16,No
36,Aurors Specialism,Divorced,Auror,Half-blood,Male,,<=50 Galleons,76886,77767.8,16,Yes
22,Hogwarts Graduate,Never-married,Magical Shop Owner,Half-blood,Female,,<=50 Galleons,87586,87384.8,14,No
17,Hogwarts Graduate,Never-married,Other,Half-blood,Male,25.0,<=50 Galleons,10410,28570.0,19,No
33,Hogwarts Graduate,Never-married,Potioneer,Half-blood,Male,40.0,<=50 Galleons,48956,55295.8,19,No
45,Hogwarts Graduate,Married,Hogwarts Professor,Half-blood,Male,84.0,<=50 Galleons,50733,67422.4,28,No
58,Hogwarts Graduate,Married,Hogwarts Professor,Half-blood,Male,40.0,<=50 Galleons,59761,65076.8,21,No
22,Specialism in a magical field,Never-married,Magical Shop Owner,Half-blood,Female,40.0,<=50 Galleons,54261,70911.8,22,No
51,Hogwarts Graduate,Married,Gringotts Bank,Pureblood,Male,40.0,>50 Galleons,97045,100706.0,30,Yes
28,Hogwarts Graduate,Never-married,Magical Shop Owner,Pureblood,Female,,<=50 Galleons,51000,57574.0,25,Yes
45,Specialism in a magical field,Married,Gringotts Bank,Half-blood,Male,77.0,<=50 Galleons,26682,41304.600000000006,20,No
32,Specialism in a magical field,Married,Other,Half-blood,Male,55.0,>50 Galleons,59508,67317.4,40,Yes
39,Aurors Specialism,Married,Wandmaker,Half-blood,Female,50.0,>50 Galleons,42108,60431.4,34,Yes
25,Specialism in a magical field,Never-married,Ministry of Magic Official,Muggle born,Male,,<=50 Galleons,39756,50074.8,13,No
45,Specialism in a magical field,Married,Magical Shop Owner,Half-blood,Male,40.0,<=50 Galleons,40419,50440.2,16,No
63,Aurors Specialism,Never-married,Auror,Half-blood,Male,40.0,<=50 Galleons,5017,30528.6,13,Yes
