,age,education,marital_status,occupation,bloodline,gender,hours_per_week,income_bracket,magical_artifact_possession_score,magical_artifact_power_level,number_of_spells_mastered,gringotts_approved_loan,income_bracket_numeric,number_of_spells_mastered_zscore
403,24,Hogwarts Graduate,Never-married,Hogwarts Professor,Half-blood,Male,30.0,<=50 Galleons,-2378,13239.6,18,1,0,0.11251624081930925
404,29,Hogwarts Graduate,Never-married,Wandlore Assistant,Half-blood,Female,10.0,<=50 Galleons,74345,81710.0,24,0,0,0.11764655045466038
405,39,Hogwarts Graduate,Divorced,Other,Half-blood,Female,40.0,<=50 Galleons,14758,32746.4,24,0,0,0.11764655045466038
406,68,Hogwarts Graduate,Widowed,Magical Intelligence Agent,Half-blood,Female,40.0,<=50 Galleons,45089,62760.2,15,0,0,0.10995108600163368
407,61,Specialism in a magical field,Married,Hogwarts Professor,Half-blood,Male,45.0,>50 Galleons,41760,53120.0,44,1,1,0.1347475825724975
408,27,Specialism in a magical field,Never-married,Magical Intelligence Agent,Half-blood,Female,40.0,<=50 Galleons,26035,47744.0,28,0,0,0.12106675687822781
409,32,Specialism in a magical field,Married,Potion Ingredients Supplier,Half-blood,Male,30.0,<=50 Galleons,65019,71421.20000000001,25,1,0,0.11850160206055224
410,27,Hogwarts Graduate,Divorced,Auror,Half-blood,Female,32.0,<=50 Galleons,8159,27636.2,15,0,0,0.10995108600163368
411,25,Aurors Specialism,Never-married,Wandmaker,Half-blood,Male,40.0,<=50 Galleons,72818,83280.4,28,1,0,0.12106675687822781
412,20,Dropout,Never-married,Other,Half-blood,Male,40.0,<=50 Galleons,70021,79945.8,17,0,0,0.11166118921341739
413,51,Hogwarts Graduate,Married,Gringotts Bank,Half-blood,Female,40.0,>50 Galleons,55412,67744.6,44,0,1,0.1347475825724975
414,54,Hogwarts Graduate,Married,Potioneer,Half-blood,Male,50.0,>50 Galleons,82264,91708.2,44,0,1,0.1347475825724975
415,57,Hogwarts Graduate,Married,Hogwarts Professor,Half-blood,Male,40.0,>50 Galleons,45264,60810.2,32,0,1,0.12448696330179522
416,42,Aurors Specialism,Never-married,Wandmaker,Half-blood,Male,50.0,<=50 Galleons,64978,72759.4,23,1,0,0.11679149884876852
417,23,Specialism in a magical field,Never-married,Ministry of Magic Official,Half-blood,Female,60.0,<=50 Galleons,83053,82842.40000000001,16,0,0,0.11080613760752554
418,42,Aurors Specialism,Married,Auror,Half-blood,Male,70.0,<=50 Galleons,6721,23190.8,13,1,0,0.10824098278984998
419,33,Hogwarts Graduate,Married,Hogwarts Professor,Half-blood,Male,45.0,>50 Galleons,59836,74748.8,34,0,1,0.12619706651357893
420,48,Aurors Specialism,Married,Dark Forces Defense Consultant,Half-blood,Male,40.0,>50 Galleons,52590,66096.0,44,1,1,0.1347475825724975
421,18,Hogwarts Graduate,Never-married,Potioneer,Half-blood,Female,20.0,<=50 Galleons,17442,30267.6,15,0,0,0.10995108600163368
423,20,Hogwarts Graduate,Never-married,Magical Shop Owner,Half-blood,Male,45.0,<=50 Galleons,32771,50624.8,22,0,0,0.11593644724287668
424,26,Hogwarts Graduate,Married,Magical Shop Owner,Half-blood,Male,40.0,<=50 Galleons,10762,37709.6,15,0,0,0.10995108600163368
425,23,Specialism in a magical field,Never-married,Magical Shop Owner,Half-blood,Female,25.0,<=50 Galleons,47484,65356.2,17,0,0,0.11166118921341739
426,50,Aurors Specialism,Married,Auror,Half-blood,Male,40.0,>50 Galleons,47427,53216.6,31,1,1,0.12363191169590337
427,46,Specialism in a magical field,Divorced,Other,Half-blood,Male,48.0,<=50 Galleons,39992,59964.600000000006,25,0,0,0.11850160206055224
428,34,Aurors Specialism,Married,Auror,Half-blood,Male,50.0,>50 Galleons,56561,60358.8,37,1,1,0.1287622213312545
429,43,Hogwarts Graduate,Separated,Gringotts Bank,Pureblood,Non-binary,40.0,<=50 Galleons,9430,29880.0,23,1,0,0.11679149884876852
430,50,Aurors Specialism,Married,Magical Shop Owner,Half-blood,Male,40.0,>50 Galleons,93961,104242.8,34,1,1,0.12619706651357893
431,33,Specialism in a magical field,Never-married,Ministry of Magic Official,Half-blood,Female,30.0,>50 Galleons,31490,54645.0,33,0,1,0.12534201490768707
432,38,Hogwarts Graduate,Married,Potioneer,Half-blood,Male,40.0,<=50 Galleons,21949,45032.2,21,0,0,0.11508139563698482
433,24,Specialism in a magical field,Never-married,Potion Ingredients Supplier,Half-blood,Male,40.0,<=50 Galleons,84983,92619.4,25,0,0,0.11850160206055224
434,72,Hogwarts Graduate,Widowed,Potioneer,Half-blood,Male,30.0,<=50 Galleons,10536,30994.800000000003,15,0,0,0.10995108600163368
435,18,Hogwarts Graduate,Never-married,Potion Ingredients Supplier,Half-blood,Male,11.0,<=50 Galleons,82498,88813.40000000001,16,0,0,0.11080613760752554
436,55,Aurors Specialism,Divorced,Ministry of Magic Official,Half-blood,Male,40.0,<=50 Galleons,40716,60560.8,24,1,0,0.11764655045466038
437,19,Hogwarts Graduate,Never-married,Potion Ingredients Supplier,Half-blood,Male,40.0,<=50 Galleons,35117,48221.600000000006,25,0,0,0.11850160206055224
438,33,Aurors Specialism,Divorced,Dark Forces Defense Consultant,Half-blood,Male,40.0,<=50 Galleons,70452,73910.6,14,1,0,0.10909603439574182
439,48,Aurors Specialism,Married,Wandmaker,Half-blood,Female,10.0,>50 Galleons,85330,93395.0,38,0,1,0.12961727293714637
440,29,Specialism in a magical field,Never-married,Ministry of Magic Official,Half-blood,Female,40.0,<=50 Galleons,6121,30470.8,18,0,0,0.11251624081930925
441,36,Specialism in a magical field,Divorced,Other,Half-blood,Male,40.0,<=50 Galleons,59117,74290.6,19,0,0,0.11337129242520111
442,49,Specialism in a magical field,Married,Potioneer,Half-blood,Male,40.0,<=50 Galleons,19773,38785.4,28,0,0,0.12106675687822781
444,35,Hogwarts Graduate,Divorced,Potioneer,Half-blood,Male,40.0,<=50 Galleons,32904,47428.2,17,1,0,0.11166118921341739
445,25,Hogwarts Graduate,Married,Other,Half-blood,Male,30.0,<=50 Galleons,67244,71853.20000000001,19,1,0,0.11337129242520111
446,68,Hogwarts Graduate,Married,Magical Shop Owner,Half-blood,Non-binary,45.0,<=50 Galleons,50699,61613.2,15,0,0,0.10995108600163368
447,64,Hogwarts Graduate,Married,Magical Shop Owner,Half-blood,Male,40.0,>50 Galleons,60851,64111.8,43,1,1,0.13389253096660564
448,38,Specialism in a magical field,Married,Hogwarts Professor,Half-blood,Male,40.0,>50 Galleons,93736,102491.8,34,1,1,0.12619706651357893
449,51,Specialism in a magical field,Married,Potioneer,Half-blood,Male,60.0,<=50 Galleons,82755,95594.0,16,1,0,0.11080613760752554
450,27,Specialism in a magical field,Never-married,Gringotts Bank,Half-blood,Male,50.0,<=50 Galleons,12415,25747.0,27,1,0,0.12021170527233595
451,33,Dropout,Married,Magical Librarian,Half-blood,Male,40.0,<=50 Galleons,15907,37051.6,27,0,0,0.12021170527233595
452,25,Specialism in a magical field,Never-married,Magical Librarian,Half-blood,Female,30.0,<=50 Galleons,83404,84279.2,17,0,0,0.11166118921341739
453,40,Specialism in a magical field,Married,Magical Shop Owner,Half-blood,Male,15.0,<=50 Galleons,17550,32930.0,16,0,0,0.11080613760752554
454,20,Aurors Specialism,Never-married,Auror,Half-blood,Male,25.0,<=50 Galleons,45810,52127.0,18,1,0,0.11251624081930925
455,51,Specialism in a magical field,Married,Hogwarts Professor,Pureblood,Male,40.0,<=50 Galleons,37497,56728.600000000006,19,1,0,0.11337129242520111
456,37,Aurors Specialism,Divorced,Ministry of Magic Official,Half-blood,Male,60.0,>50 Galleons,71125,80369.0,43,1,1,0.13389253096660564
457,25,Specialism in a magical field,Never-married,Magical Shop Owner,Half-blood,Male,42.0,<=50 Galleons,73911,86717.8,24,1,0,0.11764655045466038
458,39,Specialism in a magical field,Married,Potion Ingredients Supplier,Half-blood,Male,45.0,>50 Galleons,39781,55365.8,41,1,1,0.13218242775482192
459,43,Hogwarts Graduate,Married,Potion Ingredients Supplier,Half-blood,Male,45.0,<=50 Galleons,40863,55436.4,28,0,0,0.12106675687822781
460,19,Hogwarts Graduate,Never-married,Hogwarts Professor,Half-blood,Female,30.0,<=50 Galleons,67659,73883.20000000001,25,0,0,0.11850160206055224
461,37,Hogwarts Graduate,Never-married,Potion Ingredients Supplier,Pureblood,Female,40.0,<=50 Galleons,91481,94484.8,25,1,0,0.11850160206055224
462,21,Hogwarts Graduate,Never-married,Gringotts Bank,Half-blood,Male,40.0,<=50 Galleons,87068,89758.40000000001,22,0,0,0.11593644724287668
463,41,Specialism in a magical field,Married,Hogwarts Professor,Half-blood,Male,40.0,<=50 Galleons,26835,48851.0,18,1,0,0.11251624081930925
464,41,Hogwarts Graduate,Divorced,Other,Half-blood,Female,40.0,<=50 Galleons,29516,42229.8,14,0,0,0.10909603439574182
465,60,Aurors Specialism,Married,Magical Intelligence Agent,Half-blood,Male,40.0,>50 Galleons,46434,55431.2,44,1,1,0.1347475825724975
466,48,Hogwarts Graduate,Married,Hogwarts Professor,Half-blood,Male,40.0,<=50 Galleons,22819,45262.2,24,0,0,0.11764655045466038
467,40,Hogwarts Graduate,Married,Potioneer,Half-blood,Male,40.0,<=50 Galleons,29558,50673.4,13,0,0,0.10824098278984998
468,36,Specialism in a magical field,Married,Potioneer,Half-blood,Male,48.0,>50 Galleons,75760,83060.0,43,1,1,0.13389253096660564
469,18,Hogwarts Graduate,Never-married,Magical Shop Owner,Half-blood,Female,40.0,<=50 Galleons,32369,45356.2,14,0,0,0.10909603439574182
470,40,Aurors Specialism,Married,Wandlore Assistant,Half-blood,Female,40.0,>50 Galleons,78924,92018.2,36,0,1,0.12790716972536265
471,45,Hogwarts Graduate,Married,Hogwarts Professor,Half-blood,Male,40.0,>50 Galleons,69905,72896.0,39,1,1,0.1304723245430382
472,35,Hogwarts Graduate,Separated,Other,Half-blood,Male,42.0,<=50 Galleons,51408,61550.4,17,0,0,0.11166118921341739
473,27,Dropout,Married,Ministry of Magic Official,Half-blood,Male,24.0,<=50 Galleons,34085,52972.0,13,0,0,0.10824098278984998
474,43,Aurors Specialism,Married,Auror,Half-blood,Non-binary,50.0,<=50 Galleons,55219,70663.20000000001,28,0,0,0.12106675687822781
475,35,Hogwarts Graduate,Divorced,Other,Pureblood,Male,40.0,<=50 Galleons,60762,69063.6,28,1,0,0.12106675687822781
476,34,Charms Scholar,Married,Magical Intelligence Agent,Half-blood,Male,40.0,>50 Galleons,34089,52940.2,30,0,1,0.12277686009001151
477,48,Aurors Specialism,Married,Potion Ingredients Supplier,Half-blood,Male,40.0,>50 Galleons,65196,79014.8,43,1,1,0.13389253096660564
478,32,Aurors Specialism,Married,Magical Librarian,Half-blood,Male,50.0,<=50 Galleons,36500,44936.0,27,1,0,0.12021170527233595
479,38,Specialism in a magical field,Never-married,Hogwarts Professor,Half-blood,Male,60.0,<=50 Galleons,50344,64080.2,25,1,0,0.11850160206055224
480,34,Aurors Specialism,Married,Wandmaker,Half-blood,Male,55.0,<=50 Galleons,62837,73464.6,21,1,0,0.11508139563698482
481,23,Specialism in a magical field,Never-married,Magical Transportation,Half-blood,Female,40.0,<=50 Galleons,54598,67695.4,19,0,0,0.11337129242520111
482,51,Hogwarts Graduate,Divorced,Hogwarts Professor,Half-blood,Male,40.0,<=50 Galleons,6225,20243.0,16,0,0,0.11080613760752554
483,56,Dropout,Divorced,Other,Half-blood,Male,40.0,<=50 Galleons,56863,62617.4,22,0,0,0.11593644724287668
484,31,Specialism in a magical field,Married,Gringotts Bank,Half-blood,Male,97.0,>50 Galleons,37370,53932.0,44,1,1,0.1347475825724975
485,25,Hogwarts Graduate,Never-married,Potion Ingredients Supplier,Pureblood,Male,40.0,<=50 Galleons,71909,79552.20000000001,14,1,0,0.10909603439574182
486,24,Hogwarts Graduate,Married,Hogwarts Professor,Half-blood,Female,36.0,<=50 Galleons,6003,34292.4,24,0,0,0.11764655045466038
487,40,Specialism in a magical field,Divorced,Wandmaker,Half-blood,Male,40.0,<=50 Galleons,38254,57410.2,13,1,0,0.10824098278984998
488,42,Hogwarts Graduate,Married,Magical Shop Owner,Half-blood,Male,50.0,<=50 Galleons,28111,50982.8,18,0,0,0.11251624081930925
489,47,Aurors Specialism,Divorced,Potioneer,Half-blood,Male,50.0,<=50 Galleons,29798,52018.4,13,1,0,0.10824098278984998
490,30,Specialism in a magical field,Married,Wandmaker,Half-blood,Male,35.0,>50 Galleons,58183,76506.4,35,1,1,0.12705211811947079
491,66,Aurors Specialism,Widowed,Gringotts Bank,Half-blood,Female,40.0,>50 Galleons,42170,50668.0,42,1,1,0.13303747936071378
492,52,Specialism in a magical field,Divorced,Magical Shop Owner,Half-blood,Female,60.0,<=50 Galleons,51253,58420.4,25,0,0,0.11850160206055224
493,63,Dropout,Widowed,Magical Shop Owner,Half-blood,Female,10.0,<=50 Galleons,23676,35866.8,24,0,0,0.11764655045466038
494,40,Charms Scholar,Never-married,Wandmaker,Half-blood,Female,40.0,<=50 Galleons,46577,66281.6,22,0,0,0.11593644724287668
496,20,Specialism in a magical field,Never-married,Ministry of Magic Official,Half-blood,Female,20.0,<=50 Galleons,22453,37513.4,24,0,0,0.11764655045466038
497,39,Hogwarts Graduate,Divorced,Potion Ingredients Supplier,Half-blood,Male,40.0,<=50 Galleons,-4640,20978.0,14,0,0,0.10909603439574182
498,46,Specialism in a magical field,Separated,Magical Transportation,Pureblood,Female,40.0,<=50 Galleons,14238,28301.4,23,1,0,0.11679149884876852
499,45,Hogwarts Graduate,Married,Magical Transportation,Pureblood,Male,40.0,<=50 Galleons,7553,32275.4,23,1,0,0.11679149884876852
500,31,Specialism in a magical field,Married,Hogwarts Professor,Half-blood,Male,40.0,<=50 Galleons,71380,82793.0,28,1,0,0.12106675687822781
501,32,Dropout,Separated,Goblin Liaison Officer,Half-blood,Female,42.0,<=50 Galleons,22225,37433.0,18,0,0,0.11251624081930925
502,18,Hogwarts Graduate,Never-married,Hogwarts Professor,Half-blood,Female,45.0,<=50 Galleons,6357,32365.6,24,0,0,0.11764655045466038
503,42,Specialism in a magical field,Married,Magical Intelligence Agent,Half-blood,Male,50.0,>50 Galleons,65887,77288.6,43,1,1,0.13389253096660564
504,25,Hogwarts Graduate,Never-married,Wandlore Assistant,Half-blood,Male,40.0,<=50 Galleons,22518,46859.4,15,0,0,0.10995108600163368
505,44,Specialism in a magical field,Married,Wandmaker,Half-blood,Male,80.0,<=50 Galleons,22560,34575.0,23,1,0,0.11679149884876852
506,31,Hogwarts Graduate,Never-married,Hogwarts Professor,Pureblood,Male,40.0,<=50 Galleons,63751,74392.8,16,1,0,0.11080613760752554
507,32,Hogwarts Graduate,Never-married,Auror,Half-blood,Male,60.0,<=50 Galleons,67667,72575.6,14,0,0,0.10909603439574182
508,34,Hogwarts Graduate,Never-married,Gringotts Bank,Pureblood,Male,40.0,<=50 Galleons,24553,43791.4,13,1,0,0.10824098278984998
509,54,Specialism in a magical field,Divorced,Hogwarts Professor,Half-blood,Male,50.0,<=50 Galleons,24041,35141.8,17,0,0,0.11166118921341739
510,22,Hogwarts Graduate,Never-married,Hogwarts Professor,Half-blood,Male,20.0,<=50 Galleons,71298,76025.4,21,0,0,0.11508139563698482
511,20,Specialism in a magical field,Never-married,Wandmaker,Half-blood,Female,15.0,<=50 Galleons,65900,67959.0,20,0,0,0.11422634403109296
512,39,Specialism in a magical field,Never-married,Wandmaker,Half-blood,Male,40.0,<=50 Galleons,11386,26145.800000000003,20,1,0,0.11422634403109296
513,21,Hogwarts Graduate,Never-married,Magical Shop Owner,Half-blood,Female,40.0,<=50 Galleons,28386,45135.8,27,0,0,0.12021170527233595
514,63,Charms Scholar,Married,Wandmaker,Half-blood,Male,50.0,>50 Galleons,34662,52877.600000000006,37,0,1,0.1287622213312545
515,55,Specialism in a magical field,Married,Magical Shop Owner,Pureblood,Male,40.0,>50 Galleons,46984,57868.2,31,1,1,0.12363191169590337
516,43,Specialism in a magical field,Divorced,Magical Transportation,Half-blood,Female,40.0,<=50 Galleons,-1029,19600.8,13,0,0,0.10824098278984998
517,26,Hogwarts Graduate,Never-married,Magical Transportation,Half-blood,Female,40.0,<=50 Galleons,23275,38632.0,27,0,0,0.12021170527233595
518,59,Aurors Specialism,Married,Auror,Muggle born,Non-binary,40.0,>50 Galleons,31528,54034.4,32,0,1,0.12448696330179522
519,53,Specialism in a magical field,Married,Potioneer,Half-blood,Male,25.0,<=50 Galleons,29886,44802.8,14,1,0,0.10909603439574182
520,48,Specialism in a magical field,Divorced,Magical Shop Owner,Half-blood,Female,55.0,<=50 Galleons,84646,90253.8,14,0,0,0.10909603439574182
521,51,Hogwarts Graduate,Married,Gringotts Bank,Half-blood,Female,40.0,<=50 Galleons,29290,44265.0,25,0,0,0.11850160206055224
522,56,Specialism in a magical field,Divorced,Magical Shop Owner,Pureblood,Female,40.0,<=50 Galleons,67301,70971.8,23,1,0,0.11679149884876852
523,31,Aurors Specialism,Married,Magical Intelligence Agent,Half-blood,Male,40.0,<=50 Galleons,44243,58623.4,22,1,0,0.11593644724287668
524,52,Hogwarts Graduate,Divorced,Hogwarts Professor,Half-blood,Male,40.0,<=50 Galleons,2325,24976.0,21,1,0,0.11508139563698482
525,34,Specialism in a magical field,Married,Hogwarts Professor,Half-blood,Male,40.0,>50 Galleons,35558,49837.4,44,1,1,0.1347475825724975
526,68,Specialism in a magical field,Divorced,Potion Ingredients Supplier,Pureblood,Female,40.0,<=50 Galleons,76211,86042.8,19,1,0,0.11337129242520111
527,17,Hogwarts Graduate,Never-married,Other,Pureblood,Female,35.0,<=50 Galleons,30834,49099.2,21,1,0,0.11508139563698482
528,37,Hogwarts Graduate,Never-married,Magical Librarian,Muggle born,Male,40.0,<=50 Galleons,64166,72048.8,14,0,0,0.10909603439574182
529,44,Aurors Specialism,Married,Potioneer,Half-blood,Male,40.0,<=50 Galleons,80041,79834.8,25,1,0,0.11850160206055224
530,37,Aurors Specialism,Married,Auror,Half-blood,Male,60.0,>50 Galleons,57114,73382.20000000001,42,1,1,0.13303747936071378
531,66,Hogwarts Graduate,Widowed,Other,Half-blood,Female,8.0,<=50 Galleons,38575,46606.0,26,0,0,0.11935665366644409
532,56,Hogwarts Graduate,Separated,Other,Half-blood,Male,40.0,<=50 Galleons,56503,64285.4,14,0,0,0.10909603439574182
533,41,Specialism in a magical field,Divorced,Wandmaker,Half-blood,Female,15.0,<=50 Galleons,52713,60665.4,19,0,0,0.11337129242520111
534,21,Specialism in a magical field,Never-married,Magical Librarian,Half-blood,Female,49.0,<=50 Galleons,37999,56520.2,28,0,0,0.12106675687822781
535,51,Specialism in a magical field,Married,Magical Transportation,Half-blood,Male,40.0,<=50 Galleons,30779,52986.2,25,1,0,0.11850160206055224
536,57,Dropout,Separated,Other,Pureblood,Male,40.0,<=50 Galleons,46012,61229.6,28,1,0,0.12106675687822781
537,29,Hogwarts Graduate,Never-married,Magical Shop Owner,Muggle born,Non-binary,40.0,<=50 Galleons,70607,77216.6,16,0,0,0.11080613760752554
538,44,Aurors Specialism,Married,Magical Shop Owner,Half-blood,Female,40.0,>50 Galleons,82402,95643.6,35,0,1,0.12705211811947079
539,21,Specialism in a magical field,Never-married,Magical Shop Owner,Half-blood,Male,30.0,<=50 Galleons,58263,64835.4,13,1,0,0.10824098278984998
540,37,Specialism in a magical field,Married,Hogwarts Professor,Half-blood,Male,40.0,>50 Galleons,84809,92187.2,40,1,1,0.13132737614893006
541,33,Hogwarts Graduate,Married,Other,Half-blood,Male,40.0,>50 Galleons,78402,92471.6,33,1,1,0.12534201490768707
542,77,Aurors Specialism,Widowed,Auror,Half-blood,Male,40.0,<=50 Galleons,59947,76567.6,26,1,0,0.11935665366644409
543,52,Aurors Specialism,Married,Auror,Half-blood,Male,60.0,>50 Galleons,29843,39983.4,44,1,1,0.1347475825724975
544,58,Aurors Specialism,Married,Auror,Half-blood,Male,40.0,<=50 Galleons,-5272,19401.4,26,1,0,0.11935665366644409
545,45,Hogwarts Graduate,Married,Hogwarts Professor,Half-blood,Male,40.0,<=50 Galleons,66507,77824.6,18,0,0,0.11251624081930925
546,39,Specialism in a magical field,Never-married,Ministry of Magic Official,Muggle born,Male,40.0,<=50 Galleons,5301,25398.8,18,0,0,0.11251624081930925
547,31,Specialism in a magical field,Married,Wandmaker,Half-blood,Male,40.0,<=50 Galleons,4413,22175.4,22,1,0,0.11593644724287668
548,50,Hogwarts Graduate,Widowed,Other,Half-blood,Female,40.0,<=50 Galleons,86480,95607.0,22,0,0,0.11593644724287668
549,43,Dropout,Married,Ministry of Magic Official,Muggle born,Female,40.0,>50 Galleons,73455,78764.0,30,0,1,0.12277686009001151
550,49,Specialism in a magical field,Married,Wandmaker,Half-blood,Male,50.0,<=50 Galleons,81284,83689.20000000001,15,1,0,0.10995108600163368
551,87,Hogwarts Graduate,Married,Hogwarts Professor,Half-blood,Male,16.0,<=50 Galleons,19214,34120.2,13,0,0,0.10824098278984998
552,18,Hogwarts Graduate,Never-married,Potioneer,Half-blood,Female,15.0,<=50 Galleons,35828,51767.4,25,0,0,0.11850160206055224
553,30,Specialism in a magical field,Married,Potioneer,Half-blood,Male,40.0,<=50 Galleons,22990,37268.0,14,0,0,0.10909603439574182
554,23,Specialism in a magical field,Never-married,Potion Ingredients Supplier,Half-blood,Male,10.0,<=50 Galleons,-1898,20454.6,15,1,0,0.10995108600163368
555,32,Specialism in a magical field,Married,Potion Ingredients Supplier,Pureblood,Male,50.0,>50 Galleons,53199,71701.20000000001,39,1,1,0.1304723245430382
556,53,Dropout,Widowed,Other,Pureblood,Female,40.0,<=50 Galleons,89231,92820.8,27,1,0,0.12021170527233595
557,29,Specialism in a magical field,Married,Magical Intelligence Agent,Half-blood,Male,45.0,>50 Galleons,60050,71521.0,41,1,1,0.13218242775482192
558,29,Specialism in a magical field,Never-married,Wandmaker,Half-blood,Male,40.0,<=50 Galleons,31029,52516.2,25,1,0,0.11850160206055224
559,46,Aurors Specialism,Divorced,Auror,Half-blood,Female,40.0,<=50 Galleons,8192,25602.6,21,1,0,0.11508139563698482
560,47,Specialism in a magical field,Married,Other,Half-blood,Male,57.0,>50 Galleons,82162,86983.6,44,1,1,0.1347475825724975
561,21,Specialism in a magical field,Never-married,Potioneer,Pureblood,Male,17.0,<=50 Galleons,68699,77927.20000000001,21,1,0,0.11508139563698482
562,29,Specialism in a magical field,Married,Potion Ingredients Supplier,Half-blood,Male,40.0,>50 Galleons,45710,61998.0,31,1,1,0.12363191169590337
563,35,Hogwarts Graduate,Married,Goblin Liaison Officer,Half-blood,Male,40.0,<=50 Galleons,24701,47934.8,25,0,0,0.11850160206055224
564,53,Aurors Specialism,Married,Dark Forces Defense Consultant,Half-blood,Male,44.0,>50 Galleons,76468,90474.4,30,1,1,0.12277686009001151
565,47,Hogwarts Graduate,Divorced,Other,Half-blood,Female,48.0,<=50 Galleons,21786,35075.8,27,0,0,0.12021170527233595
566,41,Hogwarts Graduate,Married,Hogwarts Professor,Half-blood,Male,40.0,<=50 Galleons,56399,67140.20000000001,18,1,0,0.11251624081930925
567,44,Hogwarts Graduate,Married,Other,Half-blood,Male,40.0,>50 Galleons,91567,98516.6,32,0,1,0.12448696330179522
568,42,Specialism in a magical field,Married,Potioneer,Half-blood,Male,60.0,>50 Galleons,43218,50872.4,33,0,1,0.12534201490768707
569,49,Specialism in a magical field,Married,Hogwarts Professor,Half-blood,Male,50.0,>50 Galleons,67461,71003.8,41,1,1,0.13218242775482192
570,46,Specialism in a magical field,Married,Potioneer,Half-blood,Male,40.0,<=50 Galleons,53047,65175.600000000006,28,1,0,0.12106675687822781
571,24,Specialism in a magical field,Never-married,Hogwarts Professor,Half-blood,Female,40.0,<=50 Galleons,9251,33901.8,28,0,0,0.12106675687822781
573,43,Specialism in a magical field,Divorced,Wandlore Assistant,Half-blood,Female,40.0,>50 Galleons,77174,86398.20000000001,32,0,1,0.12448696330179522
574,40,Aurors Specialism,Married,Auror,Half-blood,Male,45.0,<=50 Galleons,44591,61233.8,17,1,0,0.11166118921341739
575,24,Specialism in a magical field,Married,Hogwarts Professor,Veiled Heritage,Male,40.0,<=50 Galleons,77888,79972.4,15,0,0,0.10995108600163368
576,73,Specialism in a magical field,Married,Hogwarts Professor,Half-blood,Male,20.0,>50 Galleons,37466,56989.8,32,1,1,0.12448696330179522
577,23,Aurors Specialism,Never-married,Goblin Liaison Officer,Half-blood,Male,40.0,<=50 Galleons,-3161,18605.2,22,1,0,0.11593644724287668
578,24,Aurors Specialism,Never-married,Other,Half-blood,Male,40.0,<=50 Galleons,65887,70728.6,28,1,0,0.12106675687822781
579,32,Hogwarts Graduate,Married,Hogwarts Professor,Half-blood,Male,40.0,<=50 Galleons,63688,69665.4,23,0,0,0.11679149884876852
580,47,Hogwarts Graduate,Married,Potioneer,Half-blood,Male,55.0,<=50 Galleons,23219,45811.2,16,0,0,0.11080613760752554
581,72,Specialism in a magical field,Widowed,Potioneer,Half-blood,Female,40.0,<=50 Galleons,6743,24890.4,23,0,0,0.11679149884876852
582,19,Specialism in a magical field,Never-married,Other,Half-blood,Female,9.0,<=50 Galleons,75505,78084.0,16,0,0,0.11080613760752554
583,46,Hogwarts Graduate,Married,Potioneer,Half-blood,Male,40.0,<=50 Galleons,61087,65331.600000000006,16,0,0,0.11080613760752554
584,59,Aurors Specialism,Married,Ministry of Magic Official,Half-blood,Male,50.0,<=50 Galleons,23232,35482.600000000006,21,1,0,0.11508139563698482
585,35,Specialism in a magical field,Married,Wandlore Assistant,Half-blood,Male,40.0,>50 Galleons,64702,73529.6,36,1,1,0.12790716972536265
586,51,Specialism in a magical field,Divorced,Wandmaker,Half-blood,Female,16.0,<=50 Galleons,81216,81581.8,24,0,0,0.11764655045466038
587,28,Hogwarts Graduate,Never-married,Potioneer,Pureblood,Non-binary,48.0,<=50 Galleons,45818,66649.4,14,1,0,0.10909603439574182
588,28,Hogwarts Graduate,Never-married,Magical Librarian,Half-blood,Male,40.0,<=50 Galleons,40029,49435.2,16,0,0,0.11080613760752554
589,33,Hogwarts Graduate,Never-married,Ministry of Magic Official,Half-blood,Female,40.0,<=50 Galleons,52398,68869.4,28,0,0,0.12106675687822781
590,52,Hogwarts Graduate,Married,Other,Half-blood,Male,50.0,>50 Galleons,48250,62023.0,35,1,1,0.12705211811947079
591,37,Aurors Specialism,Married,Ministry of Magic Official,Half-blood,Male,40.0,<=50 Galleons,54885,61408.0,26,1,0,0.11935665366644409
592,29,Specialism in a magical field,Divorced,Magical Intelligence Agent,Half-blood,Male,24.0,<=50 Galleons,76439,79174.20000000001,14,0,0,0.10909603439574182
593,27,Specialism in a magical field,Married,Auror,Half-blood,Male,40.0,>50 Galleons,57199,63492.2,44,1,1,0.1347475825724975
594,32,Hogwarts Graduate,Married,Potioneer,Half-blood,Male,40.0,<=50 Galleons,7463,29596.4,13,0,0,0.10824098278984998
595,54,Specialism in a magical field,Separated,Potion Ingredients Supplier,Pureblood,Female,20.0,<=50 Galleons,37580,55609.0,28,1,0,0.12106675687822781
596,66,Hogwarts Graduate,Widowed,Hogwarts Professor,Half-blood,Male,40.0,<=50 Galleons,30471,41819.8,21,0,0,0.11508139563698482
597,25,Aurors Specialism,Never-married,Auror,Half-blood,Non-binary,40.0,<=50 Galleons,76831,90460.8,26,0,0,0.11935665366644409
598,34,Specialism in a magical field,Married,Potion Ingredients Supplier,Half-blood,Male,40.0,<=50 Galleons,-1945,24613.0,28,1,0,0.12106675687822781
599,35,Hogwarts Graduate,Never-married,Hogwarts Professor,Half-blood,Female,40.0,<=50 Galleons,8313,34336.4,16,0,0,0.11080613760752554
600,37,Specialism in a magical field,Never-married,Potioneer,Half-blood,Female,40.0,<=50 Galleons,91388,100448.4,15,0,0,0.10995108600163368
